Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68e26ead18dbab420d9f06c8,5c0727ff1d461400012b61ee,APPROVED,Not Applicable,2025-10-05T13:12:20.794000Z,2025-10-05T13:14:08.642000Z,2025-10-05T13:14:10.310000Z,2025-10-05T13:14:09.456118Z,108.0,C4H367G4,6592,57,Female,White,United States,United States,United States,English,No,Other
68e26eef18f5111a55ce2e8b,67217c9b294edb50f005d264,APPROVED,Not Applicable,2025-10-05T13:13:23.454000Z,2025-10-05T13:14:19.519000Z,2025-10-05T13:14:23.083000Z,2025-10-05T13:14:23.952660Z,57.0,C4H367G4,2106,41,Female,Asian,United States,United States,United States,Bengali,No,Part-Time
68e26ef05121eb28fb80f33a,65cb586a1166caf7eb546dda,APPROVED,Not Applicable,2025-10-05T13:13:25.206000Z,2025-10-05T13:14:12.899000Z,2025-10-05T13:14:16.173000Z,2025-10-05T13:14:13.684613Z,48.0,C4H367G4,5141,52,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e26f43529103625037d4f5,65cb82b1171dd17b0b753d25,APPROVED,Not Applicable,2025-10-05T13:14:47.388000Z,2025-10-05T13:16:13.102000Z,2025-10-05T13:16:17.219000Z,2025-10-05T13:16:15.850753Z,86.0,C4H367G4,2257,27,Female,Asian,China,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e26f74d70dbf9d967a436b,5dceca2541afe801a32e27ac,APPROVED,Not Applicable,2025-10-05T13:15:36.841000Z,2025-10-05T13:17:50.077000Z,2025-10-05T13:17:53.616000Z,2025-10-05T13:17:50.833262Z,134.0,C4H367G4,9115,81,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68e26fa3d100add06d58ee7c,66e55fbb5f438f51e9340c93,APPROVED,Not Applicable,2025-10-05T13:16:24.120000Z,2025-10-05T13:18:07.243000Z,2025-10-05T13:18:08.290000Z,2025-10-05T13:18:08.010781Z,104.0,C4H367G4,1901,48,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e26fe0c1763fc5c4febdec,6702d07bac1f67f966c87e8f,APPROVED,Not Applicable,2025-10-05T13:17:25.664000Z,2025-10-05T13:18:33.435000Z,2025-10-05T13:18:37.273000Z,2025-10-05T13:18:40.356551Z,68.0,C4H367G4,1030,38,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
68e26ff91d9391db49bdd96e,5f7d10d8b5861b1e56c20d2d,APPROVED,Not Applicable,2025-10-05T13:17:51.661000Z,2025-10-05T13:19:05.826000Z,2025-10-05T13:19:06.761000Z,2025-10-05T13:19:06.733762Z,75.0,C4H367G4,403,23,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e26ffc035b0333febfe360,67352889b3b5e7bc6bb4981b,APPROVED,Not Applicable,2025-10-05T13:18:24.117000Z,2025-10-05T13:20:56.362000Z,2025-10-05T13:20:58.047000Z,2025-10-05T13:20:57.850652Z,153.0,C4H367G4,1224,83,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68e2701fa089228e240e259b,62ef104b5e9352c2ead31fde,APPROVED,Not Applicable,2025-10-05T13:18:30.060000Z,2025-10-05T13:20:11.329000Z,2025-10-05T13:20:12.353000Z,2025-10-05T13:20:13.672769Z,102.0,C4H367G4,11911,61,Male,White,United States,United States,United States,English,No,Full-Time
68e27068c27ddef0d57e0df5,62e048dfdad3b6080f9a0b0c,APPROVED,Not Applicable,2025-10-05T13:19:40.159000Z,2025-10-05T13:21:09.088000Z,2025-10-05T13:21:12.481000Z,2025-10-05T13:21:09.828275Z,89.0,C4H367G4,647,28,Female,Other,United States,United States,United States,Spanish,DATA_EXPIRED,DATA_EXPIRED
68e2713a34c015ae52095689,6703e010bd646f92d2c522c8,APPROVED,Not Applicable,2025-10-05T13:23:22.917000Z,2025-10-05T13:25:06.649000Z,2025-10-05T13:25:07.542000Z,2025-10-05T13:25:09.226281Z,104.0,C4H367G4,743,45,Female,Mixed,Canada,United States,United States,English,No,Part-Time
68e271c7a0ce77d41b0a7355,5ed559e5afbd830e2117ed55,APPROVED,Not Applicable,2025-10-05T13:25:30.628000Z,2025-10-05T13:27:01.115000Z,2025-10-05T13:27:05.310000Z,2025-10-05T13:27:02.018033Z,91.0,C4H367G4,14303,64,Male,White,United States,United States,United States,English,No,Full-Time
