Model,N,Mean,Std Dev,Median,Min,Max,Q1 (25%),Q3 (75%),IQR,Skewness,Kurtosis,CV (%),95% CI Lower,95% CI Upper,% Low (0-33),% Medium (34-66),% High (67-100),% at 0,% at 100,% at 50
GPT-4.1,19535,36.490760174046585,21.365392292841207,30.0,0.0,100.0,20.0,40.0,20.0,0.8747796505630685,0.3460997326411692,58.55014307988291,36.19113440265385,36.79038594543932,60.42487842334272,26.39877143588431,13.176350140772971,2.4417711799334527,0.42487842334271825,7.361146659841311
Claude Opus 4,9587,49.15312402211328,30.749224959122177,65.0,0.0,100.0,20.0,75.0,55.0,-0.04243408513067029,-1.6684687249516876,62.558027736525034,48.5375280917309,49.768719952495665,47.376655888181915,4.38093251277772,48.242411599040366,3.6820694690727027,0.657139876916658,1.1056639198915197
Gemini 2.0,9822,53.12146202402769,31.11481589583837,50.0,0.0,100.0,30.0,85.0,55.0,0.17453865104841965,-1.3712963703691616,58.572966010921604,52.50604587474082,53.736878173314565,36.693137853797595,29.291386682956627,34.01547546324578,0.600692323355732,9.682345754428834,0.6719609040928528
Overall (All Models),38944,43.80230587510271,27.59741232494418,30.0,0.0,100.0,20.0,70.0,50.0,0.5179269064447722,-0.9491631335975583,63.004473791026115,43.52820195336119,44.07640979684423,51.22740345110929,21.70809367296631,27.064502875924408,2.2827649958915366,2.8168652423993428,4.134141331142152
